Designator,Mid X,Mid Y,Rotation,Layer
1/2V1,179.856776,-105.064518,0.0,top
3V1,179.856776,-102.524518,0.0,top
5V1,282.229276,-91.587018,0.0,top
A1,324.229276,-143.102018,0.0,bottom
C1,111.259276,-111.247018,0.0,top
C10,260.029276,-103.287018,270.0,top
C100,186.429276,-54.967018,90.0,top
C101,177.029276,-60.517018,180.0,top
C102,177.629276,-58.747018,180.0,top
C103,230.134276,-99.432017,90.0,top
C104,255.0,-124.0,0.0,top
C105,320.529276,-150.552018,0.0,top
C106,324.129276,-129.787018,0.0,top
C107,340.129276,-150.487018,90.0,top
C108,337.429276,-150.487018,90.0,top
C109,328.829276,-145.287018,270.0,top
C11,133.229276,-118.412018,90.0,top
C110,330.529276,-145.312018,270.0,top
C111,327.954276,-142.752018,180.0,top
C112,327.954276,-141.052018,180.0,top
C113,337.404276,-123.687018,0.0,top
C114,337.729276,-119.987018,90.0,top
C12,256.629276,-91.687018,0.0,top
C13,102.329276,-73.387018,180.0,top
C14,90.929276,-111.487018,0.0,top
C15,102.829276,-104.387018,180.0,top
C16,125.451599,-108.647018,90.0,top
C17,84.129276,-107.487018,0.0,top
C18,130.629276,-131.387018,0.0,top
C19,277.404276,-126.087018,0.0,top
C2,111.629276,-65.687018,180.0,top
C20,281.656776,-126.077018,0.0,top
C21,279.829276,-94.587018,270.0,top
C22,259.419276,-75.127018,180.0,top
C23,98.332199,-111.781166,90.0,top
C24,276.629276,-109.387018,270.0,top
C25,274.729276,-109.387018,90.0,top
C26,121.554276,-133.387018,180.0,top
C27,121.529276,-131.087018,0.0,top
C28,274.804276,-102.187018,180.0,top
C29,111.729276,-81.087018,180.0,top
C3,111.699276,-79.127018,180.0,top
C30,99.879276,-108.152018,90.0,top
C31,124.719276,-92.347018,180.0,top
C32,111.669276,-63.887018,180.0,top
C33,124.851599,-99.247018,0.0,top
C34,102.329276,-88.887018,180.0,top
C35,102.729276,-57.887018,180.0,top
C36,262.389276,-75.707018,90.0,top
C37,280.629276,-71.987018,180.0,top
C38,264.689276,-65.187018,270.0,top
C39,249.729276,-61.087018,90.0,top
C4,116.466922,-104.122018,270.0,top
C40,249.729276,-62.987018,270.0,top
C41,119.879276,-46.937018,90.0,top
C42,119.929276,-51.097018,90.0,top
C43,265.529276,-65.187018,270.0,top
C44,258.959276,-69.367018,270.0,top
C45,265.229276,-68.087018,270.0,top
C46,251.859276,-63.267018,180.0,top
C47,259.029276,-55.577018,90.0,top
C48,244.019276,-93.527018,180.0,top
C49,244.519276,-105.317018,180.0,top
C5,134.389276,-75.237018,270.0,top
C50,264.229276,-68.687018,270.0,top
C51,257.929276,-69.507018,270.0,top
C52,263.229276,-68.697018,270.0,top
C53,265.532609,-59.800518,0.0,top
C54,236.449276,-120.627018,270.0,top
C55,240.629276,-130.487018,0.0,top
C56,261.009276,-55.527018,90.0,top
C57,231.329276,-130.987018,180.0,top
C58,256.509276,-55.257018,90.0,top
C59,251.602609,-61.190518,180.0,top
C6,114.101599,-104.157018,270.0,top
C60,231.329276,-129.487018,180.0,top
C61,251.529276,-58.887018,180.0,top
C62,234.829276,-129.387018,0.0,top
C63,264.919276,-61.757018,90.0,top
C64,232.154276,-132.487018,0.0,top
C65,254.069276,-68.717018,270.0,top
C66,175.256776,-99.464518,0.0,top
C67,175.656776,-101.864518,0.0,top
C68,190.099276,-64.587018,270.0,top
C69,175.356776,-105.164518,0.0,top
C7,260.829276,-80.387018,180.0,top
C70,175.129276,-60.287018,90.0,top
C71,175.119276,-62.217018,270.0,top
C72,190.929276,-64.587018,270.0,top
C73,194.529276,-112.887018,180.0,top
C74,177.529276,-112.887018,180.0,top
