Designator,Mid X,Mid Y,Rotation,Layer
C1,281.11,-295.49,180.0,top
C10,350.23,-278.295,270.0,top
C11,360.0,-255.2,180.0,top
C112,310.867677,-291.7,180.0,top
C117,435.9,-238.7,90.0,top
C118,435.9,-240.6,270.0,top
C12,469.69,-254.42,180.0,top
C120,438.03,-240.88,180.0,top
C123,445.2,-233.19,90.0,top
C124,449.83,-246.02,0.0,top
C126,444.1,-247.12,270.0,top
C127,451.703333,-237.4135,0.0,top
C128,447.18,-233.14,90.0,top
C129,442.68,-232.87,90.0,top
C13,461.67,-254.56,180.0,top
C130,437.773333,-238.8035,180.0,top
C131,437.7,-236.5,180.0,top
C132,311.0,-298.6,0.0,top
C14,446.49,-285.36,270.0,top
C15,288.5,-266.5,180.0,top
C16,461.46,-284.56,180.0,top
C17,399.0,-272.4,180.0,top
C18,354.2,-269.0,270.0,top
C19,399.0,-266.2,180.0,top
C2,269.83,-309.61,90.0,top
C20,399.0,-264.7,180.0,top
C21,399.0,-268.6,0.0,top
C22,407.8,-263.4,270.0,top
C23,419.6,-256.51,0.0,top
C24,469.58,-262.65,0.0,top
C25,391.2,-257.3625,270.0,top
C26,466.9,-305.03,0.0,top
C27,306.05,-224.55,90.0,top
C28,422.62,-298.24,270.0,top
C29,422.72,-303.36,90.0,top
C3,420.1185,-309.689,0.0,top
C30,463.81,-285.39,270.0,top
C31,463.78,-291.675,270.0,top
C32,376.7,-245.02,270.0,top
C33,288.5,-251.0,180.0,top
C34,277.132323,-289.5,0.0,top
C35,361.3,-237.9,90.0,top
C36,361.29,-239.83,270.0,top
C37,451.04,-242.8,270.0,top
C38,349.19,-259.7025,90.0,top
C39,373.455,-269.64,270.0,top
C4,428.4515,-309.689,0.0,top
C40,463.25,-301.72,270.0,top
C41,373.88,-278.645,90.0,top
C42,357.68,-278.535,270.0,top
C43,363.91,-278.545,90.0,top
C44,288.9,-235.5,180.0,top
C45,289.0,-282.0,180.0,top
C46,370.9,-245.75,270.0,top
C47,373.3,-245.5,180.0,top
C48,452.14,-242.8,270.0,top
C49,430.19,-271.14,180.0,top
C5,424.2605,-305.879,0.0,top
C50,320.56,-252.85,270.0,top
C51,459.5,-262.8,180.0,top
C52,445.0,-261.8,0.0,top
C53,320.87,-248.7,270.0,top
C54,311.6,-308.0,90.0,top
C55,302.615323,-303.475,270.0,top
C56,371.8,-275.1,180.0,top
C57,300.25,-303.51,270.0,top
C58,363.14,-240.37,180.0,top
C59,366.48,-245.85,270.0,top
C6,465.99,-277.11,270.0,top
C60,376.65,-238.27,90.0,top
C61,451.4,-245.7,270.0,top
C62,443.01,-274.73,0.0,top
C63,368.6,-232.6,90.0,top
C64,374.8,-245.9,270.0,top
C65,369.87,-245.75,270.0,top
C66,377.3,-236.84,0.0,top
C67,372.6,-232.58,90.0,top
C68,404.79,-275.23,0.0,top
C69,296.42,-310.73,0.0,top
C7,430.69,-282.93,180.0,top
C70,370.6,-232.5,90.0,top
C71,445.13,-246.98,270.0,top
C72,448.373333,-246.5035,270.0,top
C73,440.24,-246.33,270.0,top
C74,363.2,-238.13,180.0,top
C75,451.09,-239.54,90.0,top
C76,416.52,-305.75,0.0,top
C77,288.18,-293.54,90.0,top
C78,363.8,-236.36,180.0,top
C79,298.0,-279.55,0.0,top
C8,349.11,-269.6,270.0,top
C80,298.06,-264.4,0.0,top
C81,298.29,-247.8,0.0,top
C82,297.075,-233.23,0.0,top
C83,445.59,-252.74,180.0,top
